label,text_mg
ham,Nahazo bus ve ianao? Endasina atody ve ianao ? Nanao dite ve ianao? Mihinana ny ambin'ny reninao ve ianao amin'ny sakafo hariva? Tsapanao ve ny Fitiavako?
ham,"Niverina aho &amp; eny am-panamboarana ny fiara izahay izao, ampahafantariko anao raha misy toerana"
ham,Ahhh. Asa. tsaroako mazava izany! Inona no tsapa? Tpt
ham,"Andraso fa mbola tsy mazava daholo izany, tsy azonao antoka ve hoe maneso aho sa izany no tsy te hiara-mipetraka aminay."
ham,"Eny, niditra tamin'ny 2 izy ary niala tsiny. Nilavo lefona izy ary nihetsika toy ny zaza simba izy ary tratran'izany. hatramin'ny 2! Tsy ho any anefa izahay! Tsy manao ratsy be loatra. Ianao?"
ham,K lazao ahy na inona na inona momba anao.
ham,Noho ny tahotra sao ho torana amin'ny raharaha rehetra nataonao tao an-trano? Manàna kaopy haingana
spam,Misaotra anao tamin'ny famandrihanao Ringtone UK dia homena £5/volana ny findainao azafady hamafiso amin'ny famaliana ENY na TSIA. Raha mamaly TSIA ianao dia tsy ho voaloa
ham,"Eny... Ok, mody aho mijery ny ora dia mandefa hafatra ü indray... Xuhui dia hianatra amin'ny 2 mey koa fa amin'ny 8 ora ny fianarany"
ham,"Oay, ampahafantariko anao rehefa vita ny mpiray efitra amiko"
ham,Hitako ny litera B amin'ny fiarako
ham,Na inona na inona lor... Manapa-kevitra ianao...
ham,Salama! Nanao ahoana ianao ary nanao ahoana ny asabotsy? Nandefa SMS fotsiny aho mba hijery raha nanapa-kevitra ny hanao zavatra tomo ianao. Tsy hoe mitady hanasa ny tenako aho na inona!
ham,Tohizo ny watts azafady. Te hahazo antoka fotsiny aho. Mirary faran'ny herinandro mahafinaritra. Abiola
ham,"Adinoko ve ny nilaza taminao? Mila anao aho, mila anao, maniry anao aho ... Fa indrindra ... tiako ianao ry soavaly arabo mamy ... Mmmmmm ... Yummy"
spam,07732584351 - Rodger Burns - MSG = Niezaka niantso anao izahay hamerina ny valinteninao tamin'ny sms ho an'ny finday nokia + camcorder maimaim-poana. Azafady antsoy izao ny 08000930705 raha livraison rahampitso
ham,IZA NO HITANANAO?
ham,Mahafinaritra! Manantena aho fa tianao ny lehilahy nomena anao. Izaho dia &lt;#&gt;  santimetatra...
ham,Tsy misy fiantsoana..hafatra..antso tsy hita
ham,Tsy nahazo vaksiny hep b ve ianao tany nizeria.
ham,"Tena marina, misy zavatra mitranga?"
ham,"Eny, enga anie, raha tsy afaka manao izany i tyler dia afaka manontany kely aho"
ham,Tsy fantatrao hoe maditra aho. Tsy te ho any amin’ny hopitaly akory aho. Nolazaiko tamin'i Marka fa tsy malemy aho. Ny hopitaly dia natao ho an'ny marary malemy.
ham,Ny hevitrao momba ahy. Sambany ianao no nahita ahy tany am-pianarana.
ham,"Ny grama iray matetika dia mandeha toy ny &lt;#&gt; , ny antsasany fahavalo dia marani-tsaina kokoa ary mahazo anao saika grama faharoa iray manontolo amin'ny &lt;#&gt;"
ham,K fyi x manana fiara rahampitso maraina fa midona amin'ny toerana misy anay anio alina
ham,"Oay. Tsy tsapako mihitsy fa menatra be ianao noho ny trano fonenanao. Noheveriko fa tianao ilay izy, satria nanao izay tsara vitako aho ary toa faly foana momba ny ""zohy"" ianao. Miala tsiny aho fa tsy nanao ary tsy manana zavatra hafa omena. Miala tsiny aho nanolotra. Miala tsiny aho fa tena nahamenatra ny efitranonao."
spam,SMS. ac Sptv: Ny New Jersey Devils sy ny Detroit Red Wings dia milalao Ice Hockey. Mety sa diso? Tapitra? Valio END SPTV
ham,Fantatrao ve izay nataon'i Mallika Sherawat omaly? Fantaro izao @ &lt;URL&gt;
spam,"Arahabaina! Ny pasipaoro manokana momba ny sinema 1 taona ho an'ny 2 dia anao. antsoy ny 09061209465 izao! C Suprman V, Matrix3, StarWars3, sns daholo 4 MAIMAIMPOANA! bx420-ip4-5we. 150 hariva. Aza adino!"
ham,Miala tsiny fa hiantso aho amin'ny fivoriana.
ham,Lazao izay nahatongavanao
ham,Eny..gauti sy sehwag avy amin'ny andiany odi.
ham,Tsy maintsy maka burger $1 ho anao ianao rehefa mody. Tsy afaka mihetsika akory aho. Mamono ahy ny fanaintainana.
ham,Ha ha ha vazivazy tsara. Mpitady toe-javatra ny ankizivavy.
ham,Ampahany amin'ny fanamarinana IQ izany
ham,"Miala tsiny fa naharitra mandrakizay ny mpiray efitra amiko, tsy maninona raha tonga aho izao?"
ham,Ok lar i double check fa ilay mpanao volo efa nolazainy fa notapatapahina. Nilaza izy fa hanapaka mandra-pahitako tsara tarehy.
spam,"Amin'ny maha-mpanjifa sarobidy ahy, dia faly aho manoro hevitra anao fa aorian'ny famerenana vao haingana momba ny No. Mob anao dia nomena loka £1500 Bonus ianao, antsoy ny 09066364589"
ham,"Androany dia ""andro natokana ho an'ny hira.."" Inona no hira hatokanao ho ahy? Alefaso any amin'ny frnds saro-bidy rehetra ity fa rply amiko aloha..."
spam,"Urgent UR dia nanome fitsangatsanganana maimaim-poana tany EuroDisinc Trav, Aco&Entry41 Na £1000. Raha mangataka txt DIS amin'ny 87121 18+6*£1,50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
spam,"Nandre momba ny ""Barbie Divorce"" vaovao ve ianao? Miaraka amin'ny entan'i Ken rehetra izany!"
ham,Mikasa ny hanome aho amin'ity faran'ny volana ity.
ham,Wah tsara vintana ... Dia afaka mitahiry vola ... Hee ...
ham,Vita ny kilasy aiza ianao.
ham,SALAMO BABE ATO AN-TRANO IZAHAY TE HANAO ZAVATRA? XX
ham,K..k:)aiza ianao ?
ham,Afaka miantso ahy ianao izao...
ham,Miandry machan aho. Antsoy aho rehefa afaka ianao.
ham,Milay izany. Tompokolahy aho ary hitondra anao amim-pahamendrehana sy fanajana.
ham,Tena tiako ianareo vahoaka :) fa tena saro-kenatra aho pa.
ham,Tsy miasa aorian'ny &lt;#&gt;  sa inona
ham,Tsy mitovy ny eto. Mbola mitady asa. Ohatrinona ny vola azon'i Ta any.
ham,Miala tsiny fa hiantso aho rehefa avy eo
ham,K. Vao avy niantso ahy ve ianao ah?
ham,Ok eny an-dalana hody aho hi hi
ham,Ianao no ho eo amin'ny toeran'io lehilahy io
ham,Eny fijanonana manaraka.
ham,"Miantso anao aho any aoriana, tsy manana tambajotra. Raha maika dia sms aho."
ham,Tena rehefa mahazo anao ianao? Mbola mila tapakila 2 sy palitao iray hafa aho dia vita. Efa nampiasa ny multisko rehetra aho.
ham,"Eny, nanomboka nandefa fangatahana hanao izany aho saingy niverina ny fanaintainana ka niverina teo am-pandriana aho. Vola madinika roa ao amin'ny orinasa ihany koa. Mila vola amin'ny nitroko rehetra aho."
ham,Tena mbola tsy tonga saina mihitsy aho izao hariva izao
ham,"Ela kano., raha misintona, tongava maimaim-poana ianao.."
ham,"Eny, ataovy! Aza mijanona mihidy fa ho tratra ianao!"
ham,Miala tsiny fa maharary. Mety ve raha mihaona indray alina isika? Nandany ny tolakandro aho tamin'ny tra-boina ary midika izany fa tsy mbola nanao na iray aza tamin'ireo zavatra 42moro aho ary tafiditra ao anatin'izany ny taratasim-potoanako rehetra sy izany. Miala tsiny.
ham,Mitsikia ao anatin'ny hafaliana Mitsikia ao anatin'ny fanaintainana Mitsikia rehefa mirotsaka toy ny orana Mitsikia rehefa mitsikitsiky rehefa sum1 Mankarary anao Tsiky fa misy olona mbola tia mahita anao mitsiky!!
spam,"Azafady, antsoy ny solontenanay amin'ny serivisy mpanjifa amin'ny 0800 169 6031 eo anelanelan'ny 10 ora maraina ka hatramin'ny 9 ora alina satria nahazo vola azo antoka £1000 na loka £5000 ianao!"
ham,Tsy mikasa hividy any aoriana. Tsikaritro fa efa nahazo seho 530 i lido tamin'ny tolakandro. Efa vitanao ve ny asa?
spam,"Miandry ny fanangonana ny ringtone maimaim-poana anao. Alefaso fotsiny ny tenimiafina ""MIX"" mankany amin'ny 85069 hanamarina. Alao ny Usher sy Britney. FML, Boaty Paositra 5249, MK17 92H. 450Pw 16"
ham,Mijery sarimihetsika telugu.. inona ianao?
ham,Azoko. Rehefa vita isika dia manana fampindramam-bola be dia be tokony haloa
ham,"Salama. Wk efa ok - on hols izao! Eny amin'ny hazakazaka kely. Adinoko fa manana fotoana ho an'ny mpanao volo aho amin'ny efatra ka mila mody sy mandro mialoha. Mampisy olana aminao ve izany?"""
ham,Mahita sary mihetsika kafe iray aho
ham,Aza mandefa SMS intsony azafady. Tsy manana zavatra hafa holazaina aho.
ham,Okay anarana ny vidiny raha mbola ara-dalàna! Rahoviana aho no afaka maka azy ireo? Y u ave x ams xx
ham,Mbola mitady fiara hividianana aho. Ary mbola tsy nanao andrana mitondra fiara.
ham,"Oay. Marina ny anao! Tsy nikasa hanao izany aho. Heveriko fa rehefa nandao ny lehilahy boston aho ary nanova ny toerana fitadiavako ho any nyc, dia nisy zavatra niova. Satria ao amin'ny pejiko sonia dia mbola misy ihany ny hoe boston."
ham,Umma ny fiainako sy vava umma tena tia anao ry malala
ham,Misaotra betsaka tamin'ny fanirianao tamin'ny fitsingerenan'ny andro nahaterahana. Misaotra anao nanao ny fitsingerenan'ny andro nahaterahana ho tena tsy hay hadinoina.
ham,"Aight, hamely anao aho rehefa mahazo vola"
ham,Ahoana no hanandrana ny adiresy ip-ko fa tsy mpizara minecraft ny solosainako
ham,Fantatro! Antitra tezitra. Ny reniko dia toa anao fa aleo tsy mandainga. Dia izaho indray no manao vazivazy...
ham,Aza manahy. Ataoko fa sahirana izy.
ham,Ploralin'ny anarana iombonana fikarohana
ham,Mandeha hisakafo. msg aminao avy eo.
ham,Tsy maninona aho raha izany satria tiako ny manandrana zava-baovao. Natahotra anao anefa aho. Satria hoy ianao hoe tsy mafy loatra.
spam,GENT! Miezaka mifandray aminao izahay. Ny fisarihana ny faran'ny herinandro lasa teo dia mampiseho fa nahazo loka £1000 GARANTIE ianao. Antsoy ny 09064012160. Kaody fitakiana K52. 12 ora ihany no manankery. 150ppm
ham,"Wa, ur openin sentence very formal... Na izany na tsy izany, salama ihany koa aho, juz tt aho mihinana be loatra sy mametaka lanja...Haha... Ka nisy zavatra manokana nitranga?"
ham,"Rehefa niditra tao amin'ny efitranoko aho dia niteny ny PA-ko hoe, '' Happy B'day Boss !!''. Nahatsapa manokana aho. Nanontany ahy 4 sakafo atoandro izy. Taorian'ny sakafo antoandro dia nanasa ahy ho any amin'ny tranony izy. Nandeha tany izahay."
spam,Mpandresy ianao Nofantenana manokana 2 mahazo £1000 na fialantsasatra 4* (flights inc) miresaka amin'ny mpandraharaha mivantana 2 mitaky 0871277810910p/min (18+)
ham,"Goodo! Eny, tsy maintsy miteny zoma isika - ny tahan'ny atody-ovy ho an'ny tortilla ilaina!"
ham,Hmm...vao nampahafantatra ahy ny dadatoako fa mandoa vola mivantana ny sekoly izy. Koa mividiana sakafo azafady.
spam,PRIVATE! Ny kaontinao 2004 ho an'ny 07742676969 dia mampiseho 786 bonus tsy voavotra. Raha mangataka antsoy ny 08719180248 Kaody famantarana: 45239 lany daty
spam,"MAIKA! Ny laharana finday dia nomena £2000 Bonus Caller Prize tamin'ny 5/9/03 Ity no andrana farany mifandray amin'i U! Antsoy avy amin'ny Landline 09064019788 BOX42WR29C, 150PPM"
ham,ity ny adiresiko vaovao - paoma& tsiroaroa&izay malarky rehetra
spam,Ny isa Voda androany mifarana amin'ny 7548 dia voafantina hahazo loka $350. Raha manana lalao ianao dia antsoy ny 08712300220 amin'ny alàlan'ny kaody fitakiana 4041 app sarany mahazatra
ham,Handeha sao mu aho anio. Amin'ny 12 ora ihany no hatao
ham,ü maminavina amin'ny ora inona no hahavitan'ny fividianana?
ham,"Zavatra tsara, azo atao."
ham,"Mba ho fantatrao fa mbola tsy nandefa vola i yetunde. Nandefa SMS fotsiny aho mba tsy hanelingelina ny fandefasana azy. Noho izany dia tapitra izany, tsy mila miditra amin'ny zavatra rehetra ianao. Tsy tokony ho nametraka na inona na inona taminao aho tamin'ny voalohany ka noho izany dia miala tsiny aho."
ham,Ao amin'ny efitrano ve ianao.
ham,HEY GIRL. AHOANA ENAO? MANANTENA HO TSARA AHO AN DEL R BAK! EFA EFA TSY MISY C! Omeo ahy ANTSO NY FOTOANA AVY AVY I LUCYxx
ham,K..k:)ohatrinona ny vidiny?
ham,Ato an-trano aho.
ham,"Ry malala, hiantso ny Tmorrow.pls accomodate."
ham,Valio aloha ny fanontaniako.
spam,Sunshine Quiz Wkly Q! Mandresy mpilalao DVD Sony ambony raha fantatrao hoe aiza no misy an'i Algarve? Txt ansr to 82277. £1.50 SP:Tyrone
spam,Te hanao firaisana 2 anio alina? Tianao ve ny toerana tena Dogging alefa mivantana amin'ny vahoaka 2? Midira amin'ny tambajotra Dogging lehibe indrindra any UK bt Txting GRAVEL amin'ny 69888! Nt. ec2a. 31p.msg@150p
ham,msn ihany aho. yijue@hotmail.com izany
ham,Ao izy. Miantso ianao dia mihaona aminy
ham,Tsia tsia. Hojereko ny efitrano rehetra alohan'ny hanaovana hetsika
spam,Tsy handray hafatra avy amin'ny chat svc ianao. Ho an'ny serivisy Hardcore MAIMAIMPOANA dia mandehana mankany amin'ny: 69988 Raha tsy mahazo na inona na inona ianao dia tsy maintsy manamarina ny taona amin'ny tambajotranao ary andramo indray
ham,Nahazo c... kamo mitendry... adinoko ü in lect... Nahita paosy fa toy ny tsy v tsara...
ham,"K, andefaso hafatra aho rehefa eny an-dalana ianao"
ham,"Tompoko, miandry ny mailakao."
ham,"Nisy swt nieritreritra hoe: ""Aza sasatra manao zavatra kely 4 lovable persons.."" Coz..indraindray ireo zavatra kely ireo no mitana ny ampahany lehibe indrindra ao am-pony.. Gud ni8"
ham,Fantatro fa ianao. Afaka sokafanao ve ny aoriana?
ham,Eny mahita anao tsy eo amin'ny teboka
ham,Iza no anaran'ny mpiasa mandray kilasy ho antsika?
spam,"FreeMsg Nahoana ianao no tsy namaly ny lahatsoratro? Randy aho, sexy, vehivavy ary mipetraka eo an-toerana. Luv mba hihaino anao. Netcollex Ltd 08700621170150p isaky ny valin'ny hafatra Atsaharo hatramin'ny farany"
ham,Ummma.dia hiantso aorian'ny fisavana.Ny fiainanay dia manomboka any qatar ka mivavaha mafy.
ham,K..fafako ny contact-ko fa nahoana?
ham,Sindu dia nahazo asa tany birla soft ..
ham,Mikoriana ny divay ary tsy manana aho..
ham,"Eny, tiako ny cine fa tsy mila 2 midina 2 plaza mah."
ham,Ok... valiny mahazatra anao...
ham,"Maloto eny rehetra eny ianao, eny amin'ny tany, eo amin'ny varavarankely, eny fa na dia eo amin'ny akanjoko aza. Ary indraindray rehefa manokatra ny vavako aho dia ianao ihany no mivoaka. Manonofy ny tontoloko tsy misy anao aho, dia lasa ny antsasaky ny raharahako. Fotoana fifaliana ho ahy, fandaharana amin'ny fahitalavitra maro no ho hitako. Saingy heveriko fa ny zava-drehetra dia tsy maintsy misy ianao, toy ny orana, ny havandra ary ny zavona, ary rehefa tapitra ny fotoanako dia lasa iray aho sy ianao."
ham,Aaooooright any am-piasana ve ianao?
ham,Hivoaka ny tranoko aho izao...
ham,Salama ry malalako. Manao inona ianao? Tonga tamin'io tafatafa io ve ianao androany? Faly ve ianao? Zazalahy tsara ve ianao? Mieritreritra ahy ve ianao? Malahelo ahy ve ianao?
spam,Fanambarana momba ny serivisy mpanjifa. Misy fanaterana Taombaovao miandry anao. Azafady antsoy ny 07046744435 izao handaminana ny livraison
spam,Mpandresy ianao Nofantenana manokana 2 mahazo vola £1000 na fialan-tsasatra 4* (flights inc) miresaka amin'ny mpandraharaha mivantana 2 miantso 0871277810810
ham,Miaro ny tenanao ho ahy fa mila anao aho ary malahelo anao sahady aho ary mitsiriritra izay rehetra mahita anao amin'ny tena fiainana
ham,Fiara sy trano vaovao ho an'ny ray aman-dreniko.:) asa vaovao ihany no apetrako :)
ham,Tena tia anao aho. Faly aho isan'andro miaraka aminao. Mampifaly ahy ianao.
spam,-PLS STOP bootydelious (32/F) dia manasa anao ho namany. Valio ENY-434 na TSIA-434 Jereo izy: www.SMS.ac/u/bootydelious STOP? Alefaso ny STOP FRND amin'ny 62468
spam,"Efa an-dalana ny baiko BangBabes. TOKONY hahazo Service Msg 2 misintona votoaty UR ianao. Raha tsy manao izany ianao, GoTo wap. bangb. TV amin'ny UR mobile internet/service menu"
ham,Apetrako amin'ny modules cultures daholo ny hevitrao rehetra.
spam,MAIKA! Miezaka mifandray aminao izahay. Ny fisarihana ny faran'ny herinandro lasa teo dia mampiseho fa nahazo loka £900 GARANTIE ianao. Antsoy ny 09061701939. Kaody fitakiana S89. 12 ora ihany no manankery
ham,"Salama frnd, inona no fomba tsara indrindra hisorohana ny tsy fifankahazoan-kevitra amin'ny olon-tiantsika?"
ham,Fandosirana lehibe. Tiako ny tetezana fa mila lager azy aho. Hitanareo tomo
ham,Eny :) tena tsy misy endrika mihitsy:)clark koa dia manao fako.
ham,"Tompoko, mila laharana kaonty AXIS BANK sy adiresy banky aho."
ham,"Hmmm.. Azo antoka fa manana fotoana hitsambikina ... Eny, afaka mandeha 4 maimaim-poana ..."
ham,Amin'ny firy ianao no hidina any aoriana?
ham,"Helo ra, tsy mino ianao fa nanadino ny anarako Mr. Manome toro-hevitra ho anao aho, ny teny espaniola ary manomboka amin'ny m..."
ham,"Eny, hovitako ny fandroana izao. Mirary soa...tsara alina."
ham,Ampahafantaro ahy rehefa azonao ny vola mba ahafahan'i carlos miantso
ham,Mbola mandeha any amin'ny toeram-pivarotana ve ianao?
ham,"Toa mijanona mandritra ny fampisehoana manontolo ny namako ary tsy hiverina mandra-pahatongan'ny ~ &lt;#&gt; , koa aza misalasala mandeha mifoka sigara $ &lt;#&gt;  manan-danja"
ham,SMS azy. Raha tsy mamaly izy dia ampahafantaro ahy mba hahazoako miditra aminy
ham,Salama! Vao avy niresaka tamin'i MANEESHA V ianao. Tianay ho fantatra raha afa-po tamin'ny traikefa ianao. Valio maimaim-poana amin'ny Eny na Tsia.
ham,Nampiakatra ny fanantenako tamin'ny fanolorana vola ianao. sahirana aho. Indrindra fa rehefa manakaiky ny faran'ny volana ka mandratra ny fianarako. Na izany na tsy izany dia manana faran'ny herinandro gr8 ianao
ham,Lol no. Afaka matoky ahy ianao.
ham,ok. Tompokolahy aho ary hitondra anao amim-pahamendrehana sy fanajana.
ham,"Izy, ry zalahy akaiky?"
ham,Tsy mandeha na inona na inona lehibe.bye
ham,Salama tsara tarehy! Hitanao ve izany asa izany? Tsy kamo? Miasa mba hamerenana ny harato ho an'i Neny? Aiza ny boytoy-ko izao? Malahelo ahy ve izy?
ham,"Haha mahafinaritra, tongava ao anatin'ny iray minitra"
spam,Azafady antsoy ny solontenan'ny serivisy mpanjifa amin'ny FREEPHONE 0808 145 4742 eo anelanelan'ny 9 ora maraina ka hatramin'ny 11 ora alina satria nahazo vola 1000 £ na £5000 azo antoka ianao!
ham,Efa nahazo radio Xmas ve ianao. Raha tsy izany dia ho azoko izao
ham,Tonga tany an-trano aho. Mandro aloha aho. Fa ny rahavaviko mampiasa net teneno anao rehefa vita ny k...
spam,Tena miavaka ve ianao? Fantaro ny 30 aogositra. www.areyounique.co.uk
ham,Miala tsiny aho. Niditra tao amin'ny ligin'ny olona tsy mifandray aho. Tena zava-dehibe amiko ianao. Namana foana ianao na dia amin'ny vidiny manokana aza. Mirary herinandro mahafinaritra.|
ham,Salama :) nahavita ny fianarana ihany aho :)
ham,"Hijanona ho azy izany. Na izany aza, manoro hevitra aho fa hijanona amin'ny olona iray izay afaka manome ors isaky ny seza."
ham,Ahoana ny fahasalamana? Manantena aho fa nilamina tamin'ny taom-pianarana vaovao ianao. Mirary anao gr8 andro fotsiny
ham,Mirary tontolo andro mahafinaritra
ham,Nahazo izany tantaran'olona izany ve ianao
ham,maty ve ny hamster-nao? Hey ka tmr mihaona aminao aho amin'ny 1 ora tolakandro orchard mrt?
ham,"Salama ry Kate, manao ahoana ny takarivanao? Manantena aho fa hahita anao rahampitso kely fa tsy maintsy ho babyjontet ra! Txt miverina raha azonao atao. :) xxx"
ham,"Hita izany, ENC &lt;#&gt; , aiza ianao?"
ham,Nandefa anao &lt;#&gt;  vola
ham,Salama darlin efa nahavita ny oniversite aho izao ka txt aho rehefa vita ianao raha afaka mitia an'i Kate xxx ianao
ham,Nofenoina soa aman-tsara tamin'ny INR &lt;DECIMAL&gt; . Rs &lt;DECIMAL&gt; . Ny ID ny Transaction dia KR &lt;#&gt; .
ham,Salama matory ga.
ham,Antsoinao hoe alter aho amin'ny 11 ok.
ham,Lazao aho mandra-pahatongan'izany dia tsy afaka mividy ericsson oso aho ...
ham,"Eny, marina izany"
ham,Mba omeo fifandraisana izahay anio alohan'ny &lt;DECIMAL&gt;  na mamerina ny faktiora
ham,Samy :) mitifitra entana be aho ka miomàna!
ham,"Manao ahoana ry bruv, manantena fa nisy fiatoana tsara. Manana semester mahafa-po."
ham,Ao an-trano mba hifampiresaka foana
ham,K:)k:)tsara:)mianara tsara.
ham,Eny... Ahoana noe leh...
ham,Tsara ny feo! Mody ve ianao izao?
ham,Farany ny lalao dia mizotra mankany amin'ny fisarihana araka ny vinavinao.
ham,Reraka. Tsy natory tsara aho ny alina lasa izay.
ham,Mora ah?sen voafantina midika fa tsara..
ham,Tsy maintsy manao fanadinana amin'ny 3 martsa aho
ham,Eny tokony. Heveriko fa azonao ampiasaina izao ny gt atm anao hisoratra anarana. Tsy azoko antoka fa raha misy izany dia afaka manampy ahy aho. Fa rehefa manao izany ianao dia ataovy izay hahazoana antoka fa vonona ianao.
ham,Ok tsy misy olana. Makà fotoana.
ham,Misy os antsoina hoe ubandu izay mandeha tsy misy fametrahana ao anaty kapila mafy...azonao ampiasaina io os io handikana ny rakitra manan-danja ao amin'ny rafitra ary omenao any amin'ny trano fanamboarana..
ham,Hoy ianao leh... Mazava ho azy fa tsy misy zavatra mitranga lar. Tsy miteny v romantika jus kely ihany lor. Heveriko fa tsy dia tsara loatra ny toerana misy azy.
spam,"500 finday vaovao nanomboka tamin'ny 2004, TSY MAINTSY MANDEHA! Txt: NOKIA mankany amin'ny No: 89545 & angony ny anao anio! Manomboka amin'ny £1 IHANY www.4-tc.biz 2safidy 087187262701.50gbp/mtmsg18"
ham,Tena mankasitraka raha miantso ahy ianao. Mila olona hiresahana fotsiny.
spam,"Hihaona tsy ho ela amin'ilay olon-tianao ve ianao? Manomboka manidina ve ny asanao? 2 mahita maimaim-poana, txt HORO arahin'ny famantarana ny kintana, e. g. HORO ARIES"
ham,Hey orinasa elama po mudyadhu.
ham,"Hentitra kokoa noho ny mpampianatra ny fiainana... Bcoz Mpampianatra mampianatra lesona &amp; avy eo manao fanadinana, Fa ny Fiainana aloha no manao Exam & amp; dia mampianatra Lesona. Mirary maraina sambatra. . ."
ham,Salama tsara izao vao nifoha aho
ham,Midina ao gandhipuram ary mandehana mankany amin'ny lalana tapaka. Ankavanana &lt;#&gt; arabe ary mihodinkodina amin'ny voalohany miankavanana.
ham,"Ry malala, ho any amin'ny toerana fingotra izahay"
ham,"Miala tsiny fa maty ny bateria, eny, eto aho"
ham,Eny :) eto dia misy TV foana any am-piasana..
spam,Mandefa SMS & mifanena amin'olona sexy anio. Azonao atao ny mahita daty na mampirafy azy hatramin'ny U. Miaraha 4 amin'ny 10p fotsiny. VALINY miaraka amin'ny ANARANA & taona oh Sam 25. 18 -msg recd@telopolo pence
ham,efa vita printy oh. Noho izany &lt;#&gt;  miakatra ambony
ham,Na marary akaiky kokoa toy ny eo amin'ny fiantsonan'ny fiara fitateram-bahoaka amin'ny arabe iray ihany
ham,Aiza ianao? Rahoviana ianao no ho tonga eto?
ham,"Theorie vaovao: Ny ady hevitra dia mandresy d SITUATION, fa very ilay OLONA. Koa aza miady hevitra amin'ny namanao fotsiny... . . daka azy ireo & amp; lazao fa marina foana aho.!"
spam,U 447801259231 manana mpankafy miafina mitady 2 mifandraisa amin'ny U-dia fantaro hoe iza no R*ambarany hoe iza no mihevitra fa tena manokana ny UR-antsoy ny 09058094597
ham,Rahampitso ny fihainoana farany amin'ny solosaina findaiko ka tsy afaka aho.
